2025-11-22 18:09:30,473 | AEGIS.MAIN           | INFO     | --- INITIALIZING FORENSIC SUBSYSTEMS ---
2025-11-22 18:16:30,776 | AEGIS.MAIN           | INFO     | ALL SYSTEMS ONLINE. READY FOR AUDIT.
2025-11-22 18:16:30,776 | AEGIS.MAIN           | INFO     | Acquisition Thread Started.
2025-11-22 18:16:35,886 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1567.63). Sensors contradict Thermodynamics.
2025-11-22 18:16:36,888 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1802.85). Sensors contradict Thermodynamics.
2025-11-22 18:16:37,889 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1672.91). Sensors contradict Thermodynamics.
2025-11-22 18:16:38,890 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1749.54). Sensors contradict Thermodynamics.
2025-11-22 18:16:39,893 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1742.61). Sensors contradict Thermodynamics.
2025-11-22 18:16:40,895 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1650.43). Sensors contradict Thermodynamics.
2025-11-22 18:16:41,896 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1392.24). Sensors contradict Thermodynamics.
2025-11-22 18:16:42,897 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1279.15). Sensors contradict Thermodynamics.
2025-11-22 18:16:43,899 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1184.53). Sensors contradict Thermodynamics.
2025-11-22 18:16:44,902 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (934.68). Sensors contradict Thermodynamics.
2025-11-22 18:16:45,903 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (819.81). Sensors contradict Thermodynamics.
2025-11-22 18:16:46,904 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (719.77). Sensors contradict Thermodynamics.
2025-11-22 18:16:47,906 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (639.77). Sensors contradict Thermodynamics.
2025-11-22 18:16:48,908 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (596.45). Sensors contradict Thermodynamics.
2025-11-22 18:16:49,909 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (360.53). Sensors contradict Thermodynamics.
2025-11-22 18:16:50,909 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (297.26). Sensors contradict Thermodynamics.
2025-11-22 18:16:51,910 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (217.03). Sensors contradict Thermodynamics.
2025-11-22 18:16:52,912 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (265.38). Sensors contradict Thermodynamics.
2025-11-22 18:16:53,913 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (228.32). Sensors contradict Thermodynamics.
2025-11-22 18:16:54,913 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (160.25). Sensors contradict Thermodynamics.
2025-11-22 18:17:01,922 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (9.07). Sensors contradict Thermodynamics.
2025-11-22 18:17:02,923 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (11.09). Sensors contradict Thermodynamics.
2025-11-22 18:17:03,925 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (11.76). Sensors contradict Thermodynamics.
2025-11-22 18:17:04,928 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (13.59). Sensors contradict Thermodynamics.
2025-11-22 18:17:05,930 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1847.28). Sensors contradict Thermodynamics.
2025-11-22 18:17:06,931 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1955.19). Sensors contradict Thermodynamics.
2025-11-22 18:17:07,933 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1731.02). Sensors contradict Thermodynamics.
2025-11-22 18:17:08,935 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1875.03). Sensors contradict Thermodynamics.
2025-11-22 18:17:09,938 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1917.92). Sensors contradict Thermodynamics.
2025-11-22 18:17:10,940 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (2067.07). Sensors contradict Thermodynamics.
2025-11-22 18:17:11,943 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1914.26). Sensors contradict Thermodynamics.
2025-11-22 18:17:12,945 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1850.39). Sensors contradict Thermodynamics.
2025-11-22 18:17:13,946 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1543.50). Sensors contradict Thermodynamics.
2025-11-22 18:17:14,947 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1435.30). Sensors contradict Thermodynamics.
2025-11-22 18:17:15,949 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1056.01). Sensors contradict Thermodynamics.
2025-11-22 18:17:16,950 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (942.22). Sensors contradict Thermodynamics.
2025-11-22 18:17:17,952 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (932.68). Sensors contradict Thermodynamics.
2025-11-22 18:17:18,954 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (727.20). Sensors contradict Thermodynamics.
2025-11-22 18:17:19,957 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (538.45). Sensors contradict Thermodynamics.
2025-11-22 18:17:20,959 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (513.85). Sensors contradict Thermodynamics.
2025-11-22 18:17:21,959 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (332.09). Sensors contradict Thermodynamics.
2025-11-22 18:17:22,961 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (251.89). Sensors contradict Thermodynamics.
2025-11-22 18:17:23,962 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (233.66). Sensors contradict Thermodynamics.
2025-11-22 18:17:24,963 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (195.87). Sensors contradict Thermodynamics.
2025-11-22 18:17:25,965 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (147.85). Sensors contradict Thermodynamics.
2025-11-22 18:17:26,966 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (189.48). Sensors contradict Thermodynamics.
2025-11-22 18:17:27,967 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (238.14). Sensors contradict Thermodynamics.
2025-11-22 18:17:28,970 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (408.69). Sensors contradict Thermodynamics.
2025-11-22 18:17:29,969 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (352.30). Sensors contradict Thermodynamics.
2025-11-22 18:17:30,970 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (420.87). Sensors contradict Thermodynamics.
2025-11-22 18:17:31,970 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (641.42). Sensors contradict Thermodynamics.
2025-11-22 18:17:32,972 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (752.83). Sensors contradict Thermodynamics.
2025-11-22 18:17:33,971 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (769.03). Sensors contradict Thermodynamics.
2025-11-22 18:17:34,972 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1037.44). Sensors contradict Thermodynamics.
2025-11-22 18:17:35,978 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1191.04). Sensors contradict Thermodynamics.
2025-11-22 18:17:36,979 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1570.57). Sensors contradict Thermodynamics.
2025-11-22 18:17:37,978 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1837.35). Sensors contradict Thermodynamics.
2025-11-22 18:17:38,980 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1602.04). Sensors contradict Thermodynamics.
2025-11-22 18:17:39,984 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1931.56). Sensors contradict Thermodynamics.
2025-11-22 18:17:40,989 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (2049.24). Sensors contradict Thermodynamics.
2025-11-22 18:17:41,990 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1768.49). Sensors contradict Thermodynamics.
2025-11-22 18:17:42,989 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (2130.78). Sensors contradict Thermodynamics.
2025-11-22 18:17:43,991 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1994.04). Sensors contradict Thermodynamics.
2025-11-22 18:17:44,991 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1577.22). Sensors contradict Thermodynamics.
2025-11-22 18:17:45,993 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1609.08). Sensors contradict Thermodynamics.
2025-11-22 18:17:46,993 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1148.46). Sensors contradict Thermodynamics.
2025-11-22 18:17:47,993 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1091.90). Sensors contradict Thermodynamics.
2025-11-22 18:17:48,995 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (970.06). Sensors contradict Thermodynamics.
2025-11-22 18:17:49,996 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (815.75). Sensors contradict Thermodynamics.
2025-11-22 18:17:50,997 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (506.46). Sensors contradict Thermodynamics.
2025-11-22 18:17:51,997 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (518.81). Sensors contradict Thermodynamics.
2025-11-22 18:17:52,998 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (374.73). Sensors contradict Thermodynamics.
2025-11-22 18:17:53,998 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (252.62). Sensors contradict Thermodynamics.
2025-11-22 18:17:54,998 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (217.55). Sensors contradict Thermodynamics.
2025-11-22 18:18:05,006 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (8.31). Sensors contradict Thermodynamics.
2025-11-22 18:18:06,006 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1112.59). Sensors contradict Thermodynamics.
2025-11-22 18:18:07,008 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1363.05). Sensors contradict Thermodynamics.
2025-11-22 18:18:08,009 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1510.94). Sensors contradict Thermodynamics.
2025-11-22 18:18:09,010 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1550.92). Sensors contradict Thermodynamics.
2025-11-22 18:18:10,010 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1902.10). Sensors contradict Thermodynamics.
2025-11-22 18:18:11,011 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1723.52). Sensors contradict Thermodynamics.
2025-11-22 18:18:12,012 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1936.15). Sensors contradict Thermodynamics.
2025-11-22 18:18:13,013 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (2182.59). Sensors contradict Thermodynamics.
2025-11-22 18:18:14,014 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1991.02). Sensors contradict Thermodynamics.
2025-11-22 18:18:15,014 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1764.53). Sensors contradict Thermodynamics.
2025-11-22 18:18:16,015 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1705.79). Sensors contradict Thermodynamics.
2025-11-22 18:18:17,017 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1702.73). Sensors contradict Thermodynamics.
2025-11-22 18:18:18,018 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1576.95). Sensors contradict Thermodynamics.
2025-11-22 18:18:19,018 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1108.77). Sensors contradict Thermodynamics.
2025-11-22 18:18:20,019 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1045.80). Sensors contradict Thermodynamics.
2025-11-22 18:18:21,020 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (919.39). Sensors contradict Thermodynamics.
2025-11-22 18:18:22,020 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (671.64). Sensors contradict Thermodynamics.
2025-11-22 18:18:23,028 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (527.30). Sensors contradict Thermodynamics.
2025-11-22 18:18:24,030 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (479.11). Sensors contradict Thermodynamics.
2025-11-22 18:18:25,031 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (312.23). Sensors contradict Thermodynamics.
2025-11-22 18:18:26,032 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (271.52). Sensors contradict Thermodynamics.
2025-11-22 18:18:27,040 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (304.39). Sensors contradict Thermodynamics.
2025-11-22 18:18:28,042 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (234.51). Sensors contradict Thermodynamics.
2025-11-22 18:18:29,042 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (224.80). Sensors contradict Thermodynamics.
2025-11-22 18:18:30,047 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (162.49). Sensors contradict Thermodynamics.
2025-11-22 18:18:31,047 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (346.90). Sensors contradict Thermodynamics.
2025-11-22 18:18:32,058 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (253.53). Sensors contradict Thermodynamics.
2025-11-22 18:18:33,059 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (474.21). Sensors contradict Thermodynamics.
2025-11-22 18:18:34,063 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (440.69). Sensors contradict Thermodynamics.
2025-11-22 18:18:35,064 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (716.93). Sensors contradict Thermodynamics.
2025-11-22 18:18:36,064 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (733.60). Sensors contradict Thermodynamics.
2025-11-22 18:18:37,065 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1048.50). Sensors contradict Thermodynamics.
2025-11-22 18:18:38,071 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1313.96). Sensors contradict Thermodynamics.
2025-11-22 18:18:39,071 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1164.30). Sensors contradict Thermodynamics.
2025-11-22 18:18:40,079 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1864.04). Sensors contradict Thermodynamics.
2025-11-22 18:18:41,080 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1935.76). Sensors contradict Thermodynamics.
2025-11-22 18:18:42,082 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1811.11). Sensors contradict Thermodynamics.
2025-11-22 18:18:43,082 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (2099.35). Sensors contradict Thermodynamics.
2025-11-22 18:18:44,088 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1865.35). Sensors contradict Thermodynamics.
2025-11-22 18:18:45,089 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (2018.12). Sensors contradict Thermodynamics.
2025-11-22 18:18:46,099 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1824.96). Sensors contradict Thermodynamics.
2025-11-22 18:18:47,104 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1755.85). Sensors contradict Thermodynamics.
2025-11-22 18:18:48,113 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1480.30). Sensors contradict Thermodynamics.
2025-11-22 18:18:49,113 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1637.91). Sensors contradict Thermodynamics.
2025-11-22 18:18:50,117 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1126.19). Sensors contradict Thermodynamics.
2025-11-22 18:18:51,126 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1191.12). Sensors contradict Thermodynamics.
2025-11-22 18:18:52,126 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (869.43). Sensors contradict Thermodynamics.
2025-11-22 18:18:53,131 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (776.95). Sensors contradict Thermodynamics.
2025-11-22 18:18:54,133 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (651.01). Sensors contradict Thermodynamics.
2025-11-22 18:18:55,134 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (377.53). Sensors contradict Thermodynamics.
2025-11-22 18:19:06,156 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (755.90). Sensors contradict Thermodynamics.
2025-11-22 18:19:07,157 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (767.94). Sensors contradict Thermodynamics.
2025-11-22 18:19:08,158 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (908.13). Sensors contradict Thermodynamics.
2025-11-22 18:19:09,159 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1214.25). Sensors contradict Thermodynamics.
2025-11-22 18:19:10,161 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1424.06). Sensors contradict Thermodynamics.
2025-11-22 18:19:11,162 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1633.07). Sensors contradict Thermodynamics.
2025-11-22 18:19:12,172 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1503.20). Sensors contradict Thermodynamics.
2025-11-22 18:19:13,179 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1865.65). Sensors contradict Thermodynamics.
2025-11-22 18:19:14,180 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1846.52). Sensors contradict Thermodynamics.
2025-11-22 18:19:15,181 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1985.33). Sensors contradict Thermodynamics.
2025-11-22 18:19:16,190 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (2155.96). Sensors contradict Thermodynamics.
2025-11-22 18:19:17,191 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1997.00). Sensors contradict Thermodynamics.
2025-11-22 18:19:18,193 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (2038.96). Sensors contradict Thermodynamics.
2025-11-22 18:19:19,194 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1589.63). Sensors contradict Thermodynamics.
2025-11-22 18:19:20,195 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1474.99). Sensors contradict Thermodynamics.
2025-11-22 18:19:21,196 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1396.84). Sensors contradict Thermodynamics.
2025-11-22 18:19:22,197 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1086.98). Sensors contradict Thermodynamics.
2025-11-22 18:19:23,197 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1094.11). Sensors contradict Thermodynamics.
2025-11-22 18:19:24,198 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (858.57). Sensors contradict Thermodynamics.
2025-11-22 18:19:25,207 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (510.78). Sensors contradict Thermodynamics.
2025-11-22 18:19:26,207 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (501.99). Sensors contradict Thermodynamics.
2025-11-22 18:19:27,208 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (414.74). Sensors contradict Thermodynamics.
2025-11-22 18:19:28,209 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (387.22). Sensors contradict Thermodynamics.
2025-11-22 18:19:29,209 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (299.81). Sensors contradict Thermodynamics.
2025-11-22 18:19:30,210 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (184.26). Sensors contradict Thermodynamics.
2025-11-22 18:19:31,211 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (206.83). Sensors contradict Thermodynamics.
2025-11-22 18:19:32,210 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (196.72). Sensors contradict Thermodynamics.
2025-11-22 18:19:33,212 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (224.68). Sensors contradict Thermodynamics.
2025-11-22 18:19:34,212 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (343.85). Sensors contradict Thermodynamics.
2025-11-22 18:19:35,212 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (473.39). Sensors contradict Thermodynamics.
2025-11-22 18:19:36,213 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (375.02). Sensors contradict Thermodynamics.
2025-11-22 18:19:37,213 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (498.95). Sensors contradict Thermodynamics.
2025-11-22 18:19:38,214 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (756.72). Sensors contradict Thermodynamics.
2025-11-22 18:19:39,214 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (910.23). Sensors contradict Thermodynamics.
2025-11-22 18:19:40,216 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1045.54). Sensors contradict Thermodynamics.
2025-11-22 18:19:41,215 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1453.27). Sensors contradict Thermodynamics.
2025-11-22 18:19:42,216 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1352.26). Sensors contradict Thermodynamics.
2025-11-22 18:19:43,217 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1835.00). Sensors contradict Thermodynamics.
2025-11-22 18:19:44,217 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1963.38). Sensors contradict Thermodynamics.
2025-11-22 18:19:45,218 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1970.00). Sensors contradict Thermodynamics.
2025-11-22 18:19:46,219 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (2132.21). Sensors contradict Thermodynamics.
2025-11-22 18:19:47,220 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (2085.87). Sensors contradict Thermodynamics.
2025-11-22 18:19:48,220 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1933.39). Sensors contradict Thermodynamics.
2025-11-22 18:19:49,222 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1838.99). Sensors contradict Thermodynamics.
2025-11-22 18:19:50,222 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1637.32). Sensors contradict Thermodynamics.
2025-11-22 18:19:51,222 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1560.35). Sensors contradict Thermodynamics.
2025-11-22 18:19:52,223 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1493.09). Sensors contradict Thermodynamics.
2025-11-22 18:19:53,224 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1399.18). Sensors contradict Thermodynamics.
2025-11-22 18:19:54,225 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (1026.44). Sensors contradict Thermodynamics.
2025-11-22 18:19:55,225 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (880.97). Sensors contradict Thermodynamics.
2025-11-22 18:20:06,235 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (439.82). Sensors contradict Thermodynamics.
2025-11-22 18:20:07,235 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (397.28). Sensors contradict Thermodynamics.
2025-11-22 18:20:08,236 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (577.41). Sensors contradict Thermodynamics.
2025-11-22 18:20:09,236 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (784.21). Sensors contradict Thermodynamics.
2025-11-22 18:20:10,238 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (947.72). Sensors contradict Thermodynamics.
2025-11-22 18:20:11,238 | AEGIS.PHYSICS.EKF    | WARNING  | NIS Spike (986.17). Sensors contradict Thermodynamics.
